year,round,circuitId,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
1965,5,9,"Warm, dry and overcast",0,0,1,0,1
1965,6,39,not found,0,0,0,0,0
1965,7,20,Overcast and dry,0,0,1,0,1
1965,8,14,not found,0,0,0,0,0
1965,9,46,"Rainy, windy, cold",0,1,0,0,0
1965,10,32,not found,0,0,0,0,0
1964,1,6,not found,0,0,0,0,0
1964,2,39,Dry,0,0,1,0,0
1964,3,13,Dry,0,0,1,0,0
1964,4,53,Dry,0,0,1,0,0
1964,5,38,"Warm, dry",0,0,1,0,0
1964,6,20,Dry,0,0,1,0,0
1964,7,57,Dry,0,0,1,0,0
1964,8,14,Dry,0,0,1,0,0
1964,9,46,"Sunny, warm",1,0,0,0,0
1964,10,32,not found,0,0,0,0,0
1963,1,6,"Warm, dry and sunny",1,0,1,0,0
1963,2,13,Wet and overcast,0,0,0,1,1
1963,3,39,Sunny,1,0,0,0,0
1963,4,55,"Sunny, then rain",0,0,0,1,0
1963,5,9,"Warm, dry and sunny",1,0,1,0,0
1963,6,20,"Warm, dry and sunny",1,0,1,0,0
1963,7,14,"Warm, dry and sunny",1,0,1,0,0
1963,8,46,Sunny,1,0,0,0,0
1963,9,32,"Overcast, dry",0,0,1,0,0
1963,10,56,"Hot, dry and windy",0,0,1,0,0
1962,1,39,Sunny,1,0,0,0,0
1962,2,6,Cloudy,0,0,0,0,1
1962,3,13,Sunny,1,0,0,0,0
1962,4,53,Sunny,1,0,0,0,0
1962,5,58,Sunny,1,0,0,0,0
1962,6,20,Heavy rain showers,0,0,0,1,0
1962,7,14,"Dry, with rain later",0,0,0,1,0
1962,8,46,Sunny,1,0,0,0,0
1962,9,56,"Dry, windy",0,0,0,0,0
1961,1,6,Sunny,1,0,0,0,0
1961,2,39,Sunny,1,0,0,0,0
1961,3,13,Sunny,1,0,0,0,0
1961,4,55,Sunny,1,0,0,0,0
1961,5,58,"Torrential rain, drying later",0,0,0,0,0
1961,6,20,Wet,0,0,0,1,0
1961,7,14,Sunny,1,0,0,0,0
1961,8,46,Temperatures up to 72 °F (22 °C); wind speeds up to 8.9 miles per hour (14.3 km/h)[1],0,0,0,0,0
